game_date_time,home_team,away_team,home_score,away_score,score_difference,home_hits,home_bb,home_homeruns,home_stolenbases,home_strikeouts,home_doubleplays,home_errors,away_hits,away_bb,away_homeruns,away_stolenbases,away_strikeouts,away_doubleplays,away_errors,home_pitching,away_pitching,win,home_starter,away_starter
2021-04-11,삼성,KT,4,2,2,9.0,5.0,2.0,0.0,8.0,1.0,0.0,7.0,6.0,1.0,0.0,7.0,0.0,0.0,13.0,30.47,1,백정현,데스파이네
2021-04-11,KIA,NC,3,7,4,10.0,1.0,0.0,1.0,7.0,1.0,0.0,12.0,3.0,2.0,0.0,4.0,0.0,1.0,23.950000000000003,25.38,2,멩덴,송명기
2021-04-11,한화,두산,3,2,1,10.0,6.0,0.0,0.0,9.0,0.0,1.0,6.0,2.0,0.0,1.0,10.0,1.0,1.0,2.75,12.06,1,카펜터,최원준
2021-04-11,LG,SSG,1,0,1,3.0,2.0,0.0,2.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,19.98,1,수아레즈,박종훈
2021-04-11,롯데,키움,2,3,1,11.0,10.0,0.0,0.0,11.0,1.0,1.0,6.0,8.0,0.0,2.0,10.0,0.0,1.0,28.93,12.68,2,프랑코,최원태
2021-04-13,삼성,한화,4,3,1,5.0,10.0,0.0,0.0,6.0,1.0,0.0,8.0,2.0,0.0,0.0,12.0,0.0,0.0,17.34,18.0,1,원태인,박주홍
2021-04-13,두산,KT,7,8,1,12.0,2.0,0.0,0.0,9.0,1.0,0.0,14.0,6.0,1.0,1.0,4.0,3.0,0.0,16.19,20.490000000000002,2,미란다,고영표
2021-04-13,키움,LG,8,2,6,13.0,6.0,0.0,1.0,4.0,2.0,0.0,6.0,3.0,1.0,1.0,2.0,1.0,0.0,10.559999999999999,18.94,1,스미스,임찬규
2021-04-13,KIA,롯데,0,8,8,2.0,2.0,0.0,0.0,10.0,0.0,1.0,12.0,11.0,0.0,0.0,8.0,1.0,1.0,21.810000000000002,6.09,2,이민우,박세웅
2021-04-13,SSG,NC,2,4,2,4.0,4.0,1.0,1.0,7.0,0.0,2.0,7.0,4.0,2.0,2.0,11.0,0.0,2.0,19.490000000000002,37.660000000000004,2,폰트,강동연
